time/s	Ewe/V	<I>/mA	cycle number	
6.366199839176261E+000	-3.1868222E-001	1.067209977551353E-003	1.000000000000000E+000
6.396999838398187E+000	-3.1560826E-001	1.241083167084888E-003	1.000000000000000E+000
6.427799837620114E+000	-3.1250548E-001	1.123925267703361E-003	1.000000000000000E+000
6.458599836842041E+000	-3.0938852E-001	1.276007380013558E-003	1.000000000000000E+000
6.489399836063967E+000	-3.0637032E-001	1.253287494523365E-003	1.000000000000000E+000
6.520199835285894E+000	-3.0326948E-001	1.277715553525016E-003	1.000000000000000E+000
6.550999834507820E+000	-3.0019048E-001	1.373783569453861E-003	1.000000000000000E+000
6.581799833729747E+000	-2.9711351E-001	1.247879559943182E-003	1.000000000000000E+000
6.612599832951673E+000	-2.9406393E-001	1.349445989478752E-003	1.000000000000000E+000
6.643399832173600E+000	-2.9099786E-001	1.308933402932835E-003	1.000000000000000E+000
6.674199831395526E+000	-2.8790560E-001	1.433587218852159E-003	1.000000000000000E+000
6.704999830617453E+000	-2.8480759E-001	1.306995541928957E-003	1.000000000000000E+000
6.735799829839380E+000	-2.8174809E-001	1.448975327314899E-003	1.000000000000000E+000
6.766699829058780E+000	-2.7866077E-001	1.302475361119564E-003	1.000000000000000E+000
6.797499828280706E+000	-2.7557480E-001	1.416635758335644E-003	1.000000000000000E+000
6.828299827502633E+000	-2.7251124E-001	1.357387993911421E-003	1.000000000000000E+000
6.859099826724560E+000	-2.6943606E-001	1.405108307307557E-003	1.000000000000000E+000
6.889899825946486E+000	-2.6634431E-001	1.459302897912677E-003	1.000000000000000E+000
6.920699825168413E+000	-2.6327372E-001	1.428647818108579E-003	1.000000000000000E+000
6.951499824390339E+000	-2.6018381E-001	1.523277941277002E-003	1.000000000000000E+000
6.982299823612266E+000	-2.5712058E-001	1.397262015705183E-003	1.000000000000000E+000
7.013099822834192E+000	-2.5406203E-001	1.541997018083021E-003	1.000000000000000E+000
7.043899822056119E+000	-2.5098798E-001	1.405579694997151E-003	1.000000000000000E+000
7.074699821278045E+000	-2.4786700E-001	1.593864094801587E-003	1.000000000000000E+000
7.105499820499972E+000	-2.4482253E-001	1.443460350377839E-003	1.000000000000000E+000
7.136299819721899E+000	-2.4166639E-001	1.615404025491226E-003	1.000000000000000E+000
7.167099818943825E+000	-2.3863691E-001	1.482383874145544E-003	1.000000000000000E+000
7.197899818165752E+000	-2.3552896E-001	1.602708470659753E-003	1.000000000000000E+000
7.228699817387678E+000	-2.3245922E-001	1.556222537781034E-003	1.000000000000000E+000
7.259499816609605E+000	-2.2936136E-001	1.582437206287680E-003	1.000000000000000E+000
7.290299815831531E+000	-2.2628720E-001	1.620458764578519E-003	1.000000000000000E+000
7.321099815053458E+000	-2.2316715E-001	1.519745747445674E-003	1.000000000000000E+000
7.351899814275384E+000	-2.2012217E-001	1.615403595452829E-003	1.000000000000000E+000
7.382699813497311E+000	-2.1707165E-001	1.532201254577127E-003	1.000000000000000E+000
7.413499812719238E+000	-2.1398915E-001	1.689250023243384E-003	1.000000000000000E+000
7.444299811941164E+000	-2.1093416E-001	1.552785336846857E-003	1.000000000000000E+000
7.475099811163091E+000	-2.0781425E-001	1.696044605702175E-003	1.000000000000000E+000
7.505899810385017E+000	-2.0471157E-001	1.551636151456998E-003	1.000000000000000E+000
7.536699809606944E+000	-2.0163599E-001	1.748202780602257E-003	1.000000000000000E+000
7.567499808828870E+000	-1.9857579E-001	1.550351218934418E-003	1.000000000000000E+000
7.598299808050797E+000	-1.9548251E-001	1.688493821761224E-003	1.000000000000000E+000
7.629199807270197E+000	-1.9243006E-001	1.669814209260921E-003	1.000000000000000E+000
7.659999806492124E+000	-1.8934058E-001	1.722432232506141E-003	1.000000000000000E+000
7.690799805714050E+000	-1.8628648E-001	1.697628809998786E-003	1.000000000000000E+000
7.721599804935977E+000	-1.8317373E-001	1.683607391098269E-003	1.000000000000000E+000
7.752399804157903E+000	-1.8012586E-001	1.765163374108604E-003	1.000000000000000E+000
7.783199803379830E+000	-1.7696330E-001	1.644137999585355E-003	1.000000000000000E+000
7.813999802601757E+000	-1.7393558E-001	1.768678716519478E-003	1.000000000000000E+000
7.844799801823683E+000	-1.7081220E-001	1.594596047970645E-003	1.000000000000000E+000
7.875599801045610E+000	-1.6777274E-001	1.821856705266246E-003	1.000000000000000E+000
7.906399800267536E+000	-1.6469972E-001	1.747641725645881E-003	1.000000000000000E+000
7.937199799489463E+000	-1.6159996E-001	1.899796543765420E-003	1.000000000000000E+000
7.967999798711389E+000	-1.5853839E-001	1.766277530097372E-003	1.000000000000000E+000
7.998799797933316E+000	-1.5541047E-001	1.836000182082423E-003	1.000000000000000E+000
8.029599797155242E+000	-1.5229158E-001	1.809326873869005E-003	1.000000000000000E+000
8.060399796377169E+000	-1.4925434E-001	1.851334936309214E-003	1.000000000000000E+000
8.091199795599096E+000	-1.4614375E-001	1.859743367194776E-003	1.000000000000000E+000
8.121999794821022E+000	-1.4309758E-001	1.809954921604434E-003	1.000000000000000E+000
8.152899794040422E+000	-1.3997921E-001	1.890770384924350E-003	1.000000000000000E+000
8.183699793262349E+000	-1.3690639E-001	1.746250822448340E-003	1.000000000000000E+000
8.214499792484276E+000	-1.3391328E-001	1.966004774310526E-003	1.000000000000000E+000
8.245299791706202E+000	-1.3076243E-001	1.792972631182482E-003	1.000000000000000E+000
8.276099790928129E+000	-1.2767902E-001	1.929250633769268E-003	1.000000000000000E+000
8.306899790150055E+000	-1.2461243E-001	1.851981994506924E-003	1.000000000000000E+000
8.337699789371982E+000	-1.2151730E-001	1.955095222854021E-003	1.000000000000000E+000
8.368499788593908E+000	-1.1846361E-001	1.882397045629931E-003	1.000000000000000E+000
8.399299787815835E+000	-1.1541714E-001	1.910920921541097E-003	1.000000000000000E+000
8.430099787037761E+000	-1.1231870E-001	1.911350327333576E-003	1.000000000000000E+000
8.460899786259688E+000	-1.0924683E-001	1.909767250381989E-003	1.000000000000000E+000
8.491699785481615E+000	-1.0616370E-001	1.963875535885284E-003	1.000000000000000E+000
8.522499784703541E+000	-1.0307021E-001	1.875991884157519E-003	1.000000000000000E+000
8.553299783925468E+000	-9.9962860E-002	1.980233225345118E-003	1.000000000000000E+000
8.584099783147394E+000	-9.6897773E-002	1.859622083888662E-003	1.000000000000000E+000
8.614899782369321E+000	-9.3869887E-002	2.044863496167428E-003	1.000000000000000E+000
8.645699781591247E+000	-9.0804681E-002	1.880812121237798E-003	1.000000000000000E+000
8.676499780813174E+000	-8.7684631E-002	2.022478321942637E-003	1.000000000000000E+000
8.707299780035100E+000	-8.4562533E-002	1.931644803499704E-003	1.000000000000000E+000
8.738099779257027E+000	-8.1584059E-002	1.988809079237205E-003	1.000000000000000E+000
8.768899778478954E+000	-7.8424275E-002	1.939933393680801E-003	1.000000000000000E+000
8.799699777700880E+000	-7.5403862E-002	2.022007287073677E-003	1.000000000000000E+000
8.830499776922807E+000	-7.2271056E-002	1.994900352580545E-003	1.000000000000000E+000
8.861299776144733E+000	-6.9173798E-002	1.952296705853160E-003	1.000000000000000E+000
8.892099775366660E+000	-6.6098079E-002	2.052883336606356E-003	1.000000000000000E+000
8.922899774588586E+000	-6.3008703E-002	1.968661617737962E-003	1.000000000000000E+000
8.953699773810513E+000	-5.9932172E-002	2.079113866941181E-003	1.000000000000000E+000
8.984499773032439E+000	-5.6851175E-002	1.933737335503956E-003	1.000000000000000E+000
9.015399772251840E+000	-5.3787027E-002	2.096078573478034E-003	1.000000000000000E+000
9.046199771473766E+000	-5.0697386E-002	1.964625241686484E-003	1.000000000000000E+000
9.076999770695693E+000	-4.7656961E-002	2.110201837361764E-003	1.000000000000000E+000
9.107799769917619E+000	-4.4568431E-002	1.983759044682638E-003	1.000000000000000E+000
9.138599769139546E+000	-4.1466556E-002	2.043287980913110E-003	1.000000000000000E+000
9.169399768361473E+000	-3.8364060E-002	2.031825713316066E-003	1.000000000000000E+000
9.200199767583399E+000	-3.5326604E-002	2.105088693305526E-003	1.000000000000000E+000
9.230999766805326E+000	-3.2208558E-002	2.096486051602405E-003	1.000000000000000E+000
9.261799766027252E+000	-2.9156448E-002	2.073084226356482E-003	1.000000000000000E+000
9.292599765249179E+000	-2.6055338E-002	2.154293911401197E-003	1.000000000000000E+000
9.323399764471105E+000	-2.2963069E-002	2.077917778251032E-003	1.000000000000000E+000
9.354199763693032E+000	-1.9899352E-002	2.238216315565556E-003	1.000000000000000E+000
9.384999762914958E+000	-1.6877929E-002	2.064626956850217E-003	1.000000000000000E+000
9.415799762136885E+000	-1.3695048E-002	2.263680268867439E-003	1.000000000000000E+000
9.446599761358812E+000	-1.0702246E-002	2.105439577610491E-003	1.000000000000000E+000
